student_id,department,attendance_rate,previous_gpa,attendance_trend,marks_trend,algorithms_internal,algorithms_external,algorithms_attendance,data_structures_internal,data_structures_external,data_structures_attendance,database_systems_internal,database_systems_external,database_systems_attendance,operating_systems_internal,operating_systems_external,operating_systems_attendance,software_engineering_internal,software_engineering_external,software_engineering_attendance,dsa_lab_internal,dsa_lab_external,dsa_lab_attendance,dbms_lab_internal,dbms_lab_external,dbms_lab_attendance,computer_networks_lab_internal,computer_networks_lab_external,computer_networks_lab_attendance,computer_graphics_lab_internal,computer_graphics_lab_external,computer_graphics_lab_attendance,data_science_lab_internal,data_science_lab_external,data_science_lab_attendance,performance_score,performance_band,at_risk,risk_score
STU-0391,CSE,67.39,6.87,-0.58,-5.42,23.32,41.99,58.26,18.67,57.31,57.16,21.05,44.17,59.79,18.53,21.42,68.49,13.18,61.09,66.47,17.14,62.41,57.07,16.26,17.56,80.49,29.36,19.9,59.24,20.35,37.26,67.08,19.41,51.11,57.78,62.69,Medium,Yes,64.7
STU-0392,CSE,68.84,6.28,-4.29,-20.14,20.96,28.26,64.73,11.32,38.93,63.12,24.72,44.11,70.07,19.89,13.06,48.88,18.41,49.18,66.5,15.68,41.4,65.57,23.9,55.85,63.31,19.75,49.14,73.09,28.26,44.58,80.53,14.2,35.43,47.49,60.6,Medium,Yes,90.0
STU-0393,CSE,71.19,7.7,-1.34,10.07,20.76,54.71,45.64,20.94,54.06,76.66,14.02,56.6,71.28,22.96,43.11,75.0,25.55,41.94,74.03,26.25,43.0,59.94,23.38,66.52,84.08,23.57,9.84,64.83,17.08,45.67,88.07,14.6,70.0,67.37,70.74,Medium,Yes,51.3
STU-0394,CSE,69.33,7.43,-5.02,-8.46,16.17,57.68,78.58,23.25,33.46,74.35,14.83,33.04,68.38,15.9,60.79,63.55,18.9,31.8,79.71,16.67,62.13,80.02,17.77,45.45,64.6,22.73,42.08,65.16,20.23,21.27,68.57,23.25,47.07,78.85,64.72,Medium,No,52.9
STU-0395,CSE,88.74,4.79,1.38,-6.1,18.11,38.11,77.57,17.97,70.0,91.5,17.07,29.91,72.76,15.85,56.39,84.47,15.21,32.28,95.24,19.59,35.59,85.66,30.0,63.29,100.0,11.24,42.73,82.3,22.72,60.9,92.01,15.64,35.08,94.95,61.59,Medium,No,45.7
STU-0396,CSE,49.0,7.76,19.24,-6.94,23.6,47.11,50.3,20.25,49.04,56.16,23.15,45.35,48.51,19.56,33.3,41.07,22.72,34.31,57.14,19.74,57.29,55.37,24.21,37.85,53.09,23.69,21.73,66.02,30.0,59.21,57.06,22.94,40.15,47.9,67.59,Medium,Yes,40.7
STU-0397,CSE,87.93,6.39,-3.24,18.53,24.82,30.4,77.32,18.01,54.84,79.27,18.87,43.4,77.81,7.8,29.6,90.54,22.43,52.42,94.03,16.87,32.39,91.68,18.94,58.61,91.74,26.42,38.02,98.61,30.0,45.81,92.92,15.35,58.41,99.22,63.95,Medium,Yes,60.9
STU-0398,CSE,69.3,8.08,2.92,-0.61,17.53,53.79,72.11,21.95,57.18,74.49,19.31,57.5,80.42,17.23,44.97,51.62,22.92,63.35,66.73,20.67,41.7,65.47,21.16,33.24,66.95,15.48,53.84,71.7,17.84,45.56,67.1,25.72,38.38,75.66,71.28,Medium,No,29.5
STU-0399,CSE,80.65,5.96,19.95,1.19,16.47,57.21,91.03,25.42,67.07,83.58,26.19,69.36,69.43,16.98,22.56,91.27,12.46,18.3,69.68,11.31,49.08,69.81,11.55,44.37,80.83,10.65,34.29,79.91,18.22,40.06,92.45,30.0,40.3,67.44,61.38,Medium,Yes,58.6
STU-0400,CSE,58.1,7.54,-5.5,-6.61,18.83,47.91,57.56,23.05,70.0,40.96,17.46,68.12,52.87,23.95,54.46,70.46,29.57,50.0,40.64,16.5,70.0,43.95,22.48,7.28,44.58,24.43,45.54,54.33,15.93,15.05,65.03,18.58,22.17,58.4,67.49,Medium,Yes,68.7
STU-0401,CSE,94.93,7.16,18.15,6.94,22.91,41.99,96.09,20.19,34.4,95.47,23.68,60.52,100.0,16.62,54.54,99.58,16.45,38.04,100.0,26.88,17.82,100.0,25.82,47.99,92.52,21.95,35.39,93.15,12.62,18.88,100.0,20.32,48.06,94.62,62.18,Medium,Yes,57.8
STU-0402,CSE,93.68,7.86,0.05,20.24,15.86,40.39,94.6,19.02,33.72,98.48,20.94,50.89,100.0,19.15,42.47,100.0,15.28,16.9,99.24,16.85,28.84,100.0,19.28,26.05,100.0,11.95,43.7,74.79,21.35,35.38,100.0,19.91,65.26,89.39,60.76,Medium,Yes,59.2
STU-0403,CSE,89.39,7.65,17.82,9.72,11.98,48.56,86.87,10.9,29.17,82.02,27.78,55.61,85.92,22.35,14.41,83.74,22.0,47.48,84.0,19.81,50.07,89.3,24.31,49.78,94.51,28.57,57.41,100.0,16.64,21.11,87.99,18.87,66.89,78.09,67.48,Medium,Yes,52.5
STU-0404,CSE,52.28,7.19,7.5,10.3,19.61,51.08,53.28,19.14,50.38,63.07,27.68,45.49,44.12,27.67,28.84,70.18,26.72,67.34,59.13,9.44,29.41,55.35,16.62,40.27,58.41,19.15,26.71,61.14,22.57,41.27,59.39,20.48,64.97,53.79,66.97,Medium,Yes,53.0
STU-0405,CSE,87.44,5.66,3.07,9.09,26.62,16.9,92.03,18.01,32.11,99.02,24.45,14.9,94.59,22.97,34.15,79.08,12.05,39.94,85.66,23.98,49.04,76.84,21.19,41.19,78.09,12.05,54.37,91.9,22.78,34.08,89.15,13.12,30.2,87.77,54.37,Medium,Yes,65.6
STU-0406,CSE,81.07,5.73,-0.66,-20.7,21.31,20.57,70.5,18.17,59.38,72.94,20.7,48.68,78.58,21.34,24.83,74.51,27.17,67.57,89.5,25.5,17.61,71.59,18.44,70.0,77.94,23.72,50.68,84.63,19.88,27.0,54.06,26.41,35.75,62.4,63.81,Medium,No,62.0
STU-0407,CSE,50.92,6.8,-6.24,-13.14,22.19,51.28,58.6,25.58,31.22,42.17,18.41,57.32,29.89,20.64,58.98,59.83,23.54,60.95,23.45,28.07,49.96,64.27,14.13,18.69,68.78,15.37,40.34,56.2,23.86,61.18,53.15,14.73,55.6,58.15,68.71,Medium,Yes,76.4
STU-0408,CSE,74.64,7.49,0.76,-3.07,10.92,66.28,49.76,25.17,35.49,81.69,22.55,44.44,79.15,19.57,55.71,96.49,13.29,0.0,70.48,17.58,39.34,65.37,24.36,24.28,79.14,23.19,49.75,79.51,24.75,45.8,71.17,22.43,54.01,83.53,65.29,Medium,Yes,58.4
STU-0409,CSE,80.47,6.77,8.97,-10.89,11.44,42.25,69.81,22.8,55.9,77.72,16.35,53.95,79.14,27.13,70.0,90.48,21.16,70.0,82.88,17.6,34.87,73.43,19.97,51.95,66.32,17.76,48.19,86.9,19.87,48.67,68.08,15.44,44.09,85.57,70.25,Medium,No,42.8
STU-0410,CSE,83.34,8.25,-0.13,-15.97,21.16,32.27,80.98,27.56,53.16,81.72,14.87,34.3,83.41,21.38,53.48,87.22,18.15,37.33,100.0,17.22,25.62,66.95,18.23,59.1,77.58,27.39,44.89,94.44,16.21,33.87,84.25,22.41,42.32,86.27,66.31,Medium,No,53.1
STU-0411,CSE,77.66,7.16,-3.17,-28.08,22.94,23.69,74.25,17.41,37.95,81.73,17.48,14.92,75.29,14.68,52.44,85.72,9.13,33.39,81.19,12.96,56.74,88.15,19.19,33.39,54.55,24.07,70.0,95.62,19.03,28.61,86.04,19.37,52.17,80.69,60.51,Medium,Yes,97.9
STU-0412,CSE,79.37,6.34,-2.51,-20.2,20.47,60.43,90.03,17.39,31.15,54.38,18.27,28.6,83.56,18.32,41.59,87.49,21.99,43.25,96.23,23.69,38.76,75.66,23.94,48.04,68.16,24.47,63.86,91.18,27.71,70.0,96.67,21.7,41.87,61.07,67.38,Medium,No,60.6
STU-0413,CSE,97.1,7.17,9.92,-3.85,20.05,52.79,97.54,10.56,40.7,100.0,14.87,47.49,100.0,25.59,70.0,93.33,20.92,48.23,100.0,22.69,66.38,73.79,22.09,52.31,94.75,8.68,44.09,90.0,28.39,50.63,89.15,9.74,53.86,100.0,71.83,Medium,No,32.8
STU-0414,CSE,93.39,7.77,12.25,-1.04,18.92,54.06,89.91,25.34,59.89,77.0,13.02,70.0,100.0,13.69,21.44,95.47,14.29,40.25,92.92,19.55,61.9,100.0,17.61,28.04,97.28,28.16,38.95,100.0,15.81,45.32,81.77,20.05,43.25,99.47,67.42,Medium,Yes,53.8
STU-0415,CSE,31.99,7.89,-6.67,-11.9,28.89,39.17,12.0,18.99,49.49,34.01,19.21,67.32,33.36,19.48,33.33,14.53,21.65,48.68,21.4,19.78,42.84,25.75,16.03,51.08,29.74,17.05,32.07,30.69,24.62,48.1,29.62,21.54,65.47,36.9,71.03,Medium,Yes,53.2
STU-0416,CSE,70.24,9.75,-6.69,1.18,21.3,54.58,68.66,20.92,37.67,54.73,21.71,50.2,67.36,25.18,34.18,52.52,16.51,21.89,73.62,16.24,59.77,79.88,15.38,32.88,75.58,24.9,14.81,73.06,9.01,36.77,81.17,30.0,41.42,57.77,66.36,Medium,Yes,63.7
STU-0417,CSE,72.53,6.7,3.79,-6.51,17.43,45.99,65.83,15.38,38.6,76.49,19.15,31.78,65.83,17.93,30.01,65.46,23.22,41.55,55.0,25.12,51.25,58.7,18.17,33.12,79.3,18.14,43.91,70.64,12.6,66.08,79.15,16.26,47.88,82.27,62.42,Medium,No,45.4
STU-0418,CSE,48.72,7.41,15.28,16.36,20.28,68.35,77.9,19.37,36.26,38.82,8.93,63.72,45.18,24.38,61.15,37.91,15.35,70.0,48.02,16.7,29.32,47.3,27.54,55.28,50.54,27.94,65.94,52.06,30.0,41.29,59.7,18.04,58.54,46.23,75.81,High,Yes,24.2
STU-0419,CSE,76.41,8.01,11.46,-2.42,22.31,70.0,85.93,22.38,33.38,78.3,14.96,58.3,85.03,19.1,69.95,91.64,20.75,53.48,70.53,18.64,28.83,71.63,19.48,20.09,82.18,25.11,44.88,49.44,18.74,24.1,70.32,27.26,8.48,68.25,65.58,Medium,Yes,57.3
STU-0420,CSE,93.73,7.47,-12.52,10.44,24.15,34.47,85.95,30.0,50.68,100.0,22.47,47.43,100.0,29.53,19.75,93.38,19.78,38.56,100.0,21.28,70.0,100.0,26.82,27.01,85.67,16.38,64.85,84.06,15.31,28.18,100.0,19.29,52.95,82.33,67.26,Medium,No,51.5
STU-0421,CSE,58.7,6.9,-2.64,3.05,24.8,18.4,48.91,16.34,48.28,50.77,27.62,52.55,51.81,24.99,39.1,52.8,24.48,8.21,66.05,16.43,34.28,78.28,17.34,59.34,61.49,21.91,41.24,55.67,27.64,58.96,53.7,14.77,36.23,68.52,62.45,Medium,Yes,61.5
STU-0422,CSE,80.05,5.64,-9.31,-21.03,25.89,53.32,63.88,23.77,64.55,81.78,29.9,25.19,86.89,14.9,60.88,86.17,29.01,52.5,76.01,17.54,41.25,74.94,26.74,64.13,65.08,20.19,45.94,72.23,22.19,66.91,88.96,26.74,34.22,80.41,71.23,Medium,No,68.0
STU-0423,CSE,61.26,6.89,-2.68,-1.36,16.17,48.59,64.56,24.8,64.7,68.15,15.7,24.72,66.46,27.5,44.63,45.99,30.0,52.34,62.97,14.16,45.24,68.13,22.52,34.8,60.69,16.92,69.96,70.21,17.38,27.47,64.04,17.54,38.73,49.91,64.98,Medium,No,40.7
STU-0424,CSE,64.92,6.21,16.04,-18.53,14.94,47.44,62.25,30.0,53.91,53.4,12.32,50.97,60.95,26.66,49.23,45.1,14.9,34.87,69.34,14.74,47.29,51.56,20.03,50.55,79.54,21.23,32.75,79.85,19.08,56.6,58.79,20.45,32.98,68.14,64.69,Medium,No,57.6
STU-0425,CSE,97.16,5.43,-14.23,-1.62,24.02,37.58,91.65,21.78,32.62,81.98,21.77,43.38,95.87,22.61,54.91,95.55,14.39,35.42,100.0,20.68,36.75,89.32,23.09,41.68,100.0,24.4,40.31,100.0,20.69,49.02,75.27,15.15,31.25,93.97,59.06,Medium,No,64.2
STU-0426,CSE,66.86,6.55,-16.19,-11.18,20.57,47.33,69.72,16.58,55.37,84.95,18.23,35.04,60.01,20.43,37.11,49.56,12.72,60.3,79.68,28.0,48.39,56.95,17.81,22.63,51.56,21.28,53.09,86.45,19.58,24.63,65.64,18.59,37.63,70.3,62.4,Medium,No,75.3
STU-0427,CSE,81.93,6.24,-8.29,5.73,13.93,46.96,88.45,27.1,49.66,92.36,17.78,40.44,95.41,13.14,38.95,93.22,18.94,40.72,79.28,20.59,61.29,91.18,20.06,61.39,85.35,24.3,29.57,99.32,21.1,3.78,98.53,20.03,39.07,75.88,61.86,Medium,Yes,70.6
STU-0428,CSE,46.93,8.2,2.87,-20.14,22.2,31.67,41.16,17.24,40.62,41.78,24.26,49.07,50.86,23.05,43.6,36.73,29.03,58.91,63.06,25.17,38.09,23.45,13.85,54.55,45.91,17.9,7.57,46.8,14.59,34.13,55.43,14.85,30.99,48.79,63.27,Medium,Yes,80.9
STU-0429,CSE,100.0,8.22,6.21,0.22,24.36,38.96,100.0,13.61,23.19,84.61,11.74,50.05,90.22,12.95,50.7,100.0,25.25,58.13,90.82,21.38,52.45,95.25,20.82,26.23,93.72,21.86,67.61,100.0,23.3,46.2,99.25,12.76,32.47,91.97,67.43,Medium,Yes,52.6
STU-0430,CSE,84.04,6.42,4.37,8.59,22.87,59.17,91.41,25.91,46.08,74.21,19.75,34.13,90.62,18.2,43.52,90.98,16.29,59.46,70.56,21.53,43.64,92.31,13.13,22.04,91.54,18.05,43.64,77.44,24.56,49.49,86.45,14.15,52.52,74.12,65.24,Medium,Yes,54.8
STU-0431,CSE,72.26,7.19,11.76,13.61,16.71,24.52,70.7,25.32,48.4,67.84,20.55,46.55,72.92,20.89,29.4,73.33,11.22,53.63,61.24,25.89,8.32,89.01,11.8,27.0,75.25,23.09,40.75,81.19,16.02,39.0,69.24,17.31,15.99,72.02,55.88,Medium,Yes,64.1
STU-0432,CSE,83.63,5.27,-17.63,-11.46,19.42,61.17,70.77,16.8,63.05,86.57,22.75,51.8,88.21,29.11,46.37,73.52,23.19,36.5,82.53,21.85,32.68,78.53,22.38,36.77,93.37,15.07,30.16,100.0,12.35,44.6,100.0,19.86,65.2,90.16,63.9,Medium,No,76.3
STU-0433,CSE,53.85,6.91,11.88,0.27,19.96,43.04,32.66,18.4,48.48,56.17,30.0,49.21,60.15,25.82,53.11,52.99,19.59,39.74,58.29,19.15,54.37,43.76,20.73,68.28,51.61,29.22,47.46,53.29,20.58,40.33,34.05,24.4,70.0,58.66,73.35,Medium,Yes,26.6
STU-0434,CSE,92.74,7.98,-3.12,2.76,22.71,42.26,100.0,19.8,49.01,77.09,17.35,50.51,100.0,24.67,21.31,77.96,22.92,33.8,100.0,11.85,43.52,92.4,22.4,29.53,73.07,20.86,52.9,100.0,18.21,56.64,97.6,26.61,44.17,75.44,67.07,Medium,No,37.6
STU-0435,CSE,70.14,8.49,7.31,23.21,19.66,46.33,75.32,12.34,40.32,78.82,19.48,40.41,89.2,14.65,63.5,80.35,18.87,44.51,69.78,20.91,36.08,65.86,18.22,40.15,67.03,8.8,46.46,64.87,10.67,39.75,66.33,26.38,36.91,76.82,66.47,Medium,No,33.5
STU-0436,CSE,71.94,6.64,-13.23,-22.22,26.91,35.58,71.46,28.64,48.43,75.68,17.96,55.31,71.54,10.84,39.67,60.11,20.56,31.25,76.72,20.22,26.28,67.01,23.1,62.22,62.91,14.51,70.0,71.84,20.46,33.91,74.09,28.58,48.82,82.59,65.98,Medium,No,80.5
STU-0437,CSE,67.63,8.76,0.05,-13.67,20.14,29.61,60.79,14.41,48.27,79.86,20.81,40.38,59.73,21.78,26.43,56.28,24.5,40.83,64.65,19.15,55.89,69.28,16.28,34.39,65.67,21.51,44.47,66.38,20.23,44.46,59.82,25.54,37.77,68.92,66.4,Medium,No,50.0
STU-0438,CSE,66.29,5.68,2.36,42.07,9.7,41.77,55.29,15.1,70.0,68.79,26.13,57.83,76.12,19.0,69.1,74.76,20.21,48.95,64.92,20.26,44.35,70.11,28.7,26.92,77.71,18.16,64.04,62.96,22.06,42.62,48.98,28.69,30.86,67.13,67.48,Medium,No,32.5
STU-0439,CSE,85.42,6.0,11.56,-4.1,14.74,24.94,83.37,17.03,27.47,85.07,12.59,46.88,84.15,7.6,37.15,90.1,14.68,52.68,89.75,14.91,44.82,93.67,15.62,41.91,96.92,15.71,51.89,74.63,19.2,51.7,61.37,17.33,51.44,87.68,57.86,Medium,Yes,67.1
STU-0440,CSE,78.84,8.35,-15.85,-28.36,17.39,28.43,85.12,18.39,53.18,82.64,17.76,61.09,72.9,25.95,64.82,89.34,19.1,70.0,80.36,21.21,44.67,67.54,26.48,36.41,88.03,25.8,54.05,71.92,18.29,4.84,77.67,24.01,41.44,72.94,70.45,Medium,Yes,100.0
STU-0441,CSE,84.78,9.51,0.31,-8.74,18.51,63.23,84.23,29.29,36.44,86.95,17.83,70.0,86.57,30.0,38.7,100.0,20.59,57.55,72.58,21.74,28.96,87.35,12.41,43.59,95.73,22.74,26.49,65.79,22.48,68.72,75.14,30.0,44.9,65.19,75.23,High,No,35.3
STU-0442,CSE,74.87,8.09,-10.85,-41.53,12.2,56.55,76.16,27.41,27.03,76.05,20.03,42.85,71.04,18.19,47.62,77.89,21.26,63.09,62.86,10.94,60.25,65.43,18.1,35.82,68.53,12.71,36.46,81.36,19.98,52.57,69.91,24.51,37.37,53.78,67.82,Medium,No,98.3
STU-0443,CSE,82.7,7.45,5.05,3.61,21.58,56.51,77.11,26.0,32.24,89.41,28.72,45.55,80.43,19.47,69.42,86.73,30.0,49.19,76.16,17.08,45.92,62.28,17.63,38.21,85.1,29.71,45.82,63.47,15.43,48.93,83.63,28.12,59.4,92.0,73.11,Medium,No,26.9
STU-0444,CSE,68.72,4.87,7.77,12.15,18.91,61.49,59.76,24.84,40.76,54.24,22.97,65.96,64.65,27.81,20.16,56.75,19.27,39.44,62.05,20.67,37.07,65.13,21.39,34.99,67.66,16.77,26.92,76.35,28.54,60.97,72.03,16.79,40.7,79.29,61.56,Medium,No,38.4
STU-0445,CSE,100.0,5.07,12.87,-13.67,8.59,39.55,100.0,14.31,51.35,100.0,12.73,46.3,93.83,22.08,55.05,100.0,20.36,49.33,88.24,19.85,33.05,100.0,23.42,55.21,100.0,18.35,36.76,96.46,11.99,22.15,100.0,13.02,28.88,98.98,57.34,Medium,Yes,79.1
STU-0446,CSE,51.48,7.66,-5.35,-7.06,17.94,58.28,52.09,16.01,59.57,58.77,12.95,48.78,44.33,16.29,70.0,52.72,18.91,46.27,60.22,16.49,37.04,58.05,12.42,59.86,35.43,18.77,21.02,40.92,26.49,60.67,62.99,12.76,29.23,54.88,69.03,Medium,Yes,67.5
STU-0447,CSE,93.91,7.07,9.27,13.85,23.58,33.01,88.12,14.34,69.87,89.16,20.16,46.25,100.0,15.24,62.52,81.13,25.83,19.27,92.87,28.13,55.46,98.13,14.76,33.98,100.0,22.36,58.35,94.65,18.59,56.5,96.51,19.15,23.79,100.0,67.04,Medium,No,33.0
STU-0448,CSE,95.52,6.17,13.61,-26.25,22.2,35.91,100.0,21.22,48.95,100.0,23.34,49.41,93.63,29.92,33.99,100.0,19.58,51.82,100.0,18.44,54.03,98.17,16.79,63.87,100.0,17.83,61.55,87.2,19.86,38.56,100.0,17.6,56.38,100.0,68.2,Medium,No,63.3
STU-0449,CSE,62.22,7.58,-16.43,-19.82,18.12,70.0,54.77,12.95,57.84,40.72,27.46,46.53,47.95,15.26,20.49,66.05,13.37,52.53,59.17,17.62,52.64,68.45,25.73,35.49,61.92,16.82,47.44,54.43,17.88,38.71,65.15,20.01,52.59,61.15,67.82,Medium,Yes,100.0
STU-0450,CSE,100.0,7.64,6.12,-3.42,17.1,47.87,90.83,22.85,40.72,100.0,21.1,69.02,100.0,20.37,34.61,100.0,18.65,22.12,98.05,20.96,32.72,98.82,19.64,44.16,100.0,13.44,70.0,99.67,22.9,46.92,82.74,14.72,37.14,100.0,66.12,Medium,No,38.0
STU-0451,CSE,89.93,8.63,9.59,-11.29,13.08,32.16,91.58,22.36,51.64,80.09,12.01,53.09,100.0,18.27,27.83,85.63,21.97,41.5,100.0,24.62,47.77,70.39,16.54,36.78,82.47,20.95,48.17,73.19,24.02,45.24,93.51,23.72,33.5,100.0,66.19,Medium,No,47.4
STU-0452,CSE,89.57,7.66,-2.59,-4.41,19.29,67.69,80.63,27.19,31.44,100.0,15.24,60.85,85.94,23.58,44.39,78.65,6.02,70.0,90.3,5.28,49.54,96.46,16.42,34.37,89.37,26.01,46.5,100.0,25.66,41.57,73.86,18.87,52.9,90.17,69.2,Medium,No,40.0
STU-0453,CSE,75.42,8.97,-12.11,-18.96,23.17,57.95,80.73,18.62,52.8,97.78,12.55,52.31,93.74,14.13,60.02,86.77,12.62,55.69,72.71,19.7,40.13,88.55,19.44,38.05,70.96,18.3,28.81,70.7,20.59,51.07,87.46,21.2,37.88,65.31,69.67,Medium,No,71.2
STU-0454,CSE,71.74,7.51,9.43,3.21,21.47,43.24,70.9,21.31,52.79,74.44,19.15,32.98,65.61,24.24,38.65,58.28,25.8,30.86,72.09,22.46,45.05,46.96,21.95,64.9,79.61,9.38,70.0,58.48,14.61,56.73,76.27,20.4,36.46,85.05,69.15,Medium,No,30.8
STU-0455,CSE,71.86,7.36,-12.0,-2.24,19.8,21.51,84.18,21.1,61.73,77.58,30.0,40.35,72.02,23.6,40.44,79.89,5.26,43.91,70.83,19.3,31.85,80.92,17.48,48.0,71.49,22.5,66.46,73.81,24.21,47.17,66.8,19.29,40.75,77.54,66.68,Medium,No,54.0
STU-0456,CSE,80.86,8.78,-1.78,8.24,20.53,33.09,78.64,12.37,42.23,80.87,29.04,65.23,70.52,21.01,48.29,78.55,19.17,39.69,99.59,17.92,50.11,55.57,24.12,62.76,70.34,17.44,51.77,81.05,22.33,40.69,99.49,16.65,70.0,93.28,74.07,Medium,No,28.6
STU-0457,CSE,96.02,6.33,-0.4,3.01,24.16,29.39,100.0,23.02,13.21,81.97,21.79,43.0,90.85,25.39,31.74,91.47,16.76,52.65,78.82,17.51,19.16,92.89,23.62,56.11,88.74,22.67,42.22,100.0,19.35,0.4,100.0,17.7,40.89,99.38,55.79,Medium,Yes,64.8
STU-0458,CSE,77.72,10.0,7.16,3.1,12.88,46.12,83.06,21.82,36.02,87.64,15.01,35.62,76.36,21.48,40.13,90.01,21.48,46.13,80.32,23.66,48.61,59.62,25.45,46.8,84.57,17.97,17.6,54.93,15.28,52.76,90.7,21.51,29.22,69.88,67.39,Medium,Yes,52.6
STU-0459,CSE,61.33,7.95,-6.27,-21.69,26.8,25.34,82.35,29.38,70.0,65.14,18.29,50.35,70.41,16.75,28.48,58.49,16.14,63.61,55.16,20.48,59.75,74.13,21.04,50.76,51.16,25.12,63.95,42.62,28.81,34.49,67.27,20.39,44.09,59.26,72.34,Medium,No,63.1
STU-0460,CSE,87.37,7.96,-6.85,7.39,15.04,52.86,84.51,13.45,29.47,74.44,17.38,52.28,80.26,24.88,43.21,84.47,20.08,65.93,73.65,28.28,59.4,87.15,25.92,40.16,90.22,17.29,59.5,80.29,19.74,55.19,97.85,15.89,56.3,77.55,72.57,Medium,No,37.7
STU-0461,CSE,88.82,8.13,0.99,-4.96,9.25,33.78,97.16,19.94,36.98,89.37,20.11,54.33,72.7,19.49,46.86,75.16,13.1,39.53,88.9,20.06,36.65,82.84,18.02,49.48,100.0,8.9,54.35,87.71,22.63,62.78,81.27,24.72,26.19,90.09,65.27,Medium,No,40.7
STU-0462,CSE,84.82,9.75,10.06,-2.5,18.79,45.69,74.93,22.18,68.79,75.1,20.95,57.84,81.85,26.8,38.55,83.66,15.03,46.9,84.85,23.18,35.46,78.0,22.31,65.96,91.11,29.24,53.33,90.01,23.4,67.32,97.2,14.58,57.01,87.47,79.06,High,No,23.9
STU-0463,CSE,86.18,8.45,22.87,15.72,19.03,18.41,70.78,18.18,23.03,82.74,23.57,36.29,87.02,14.65,49.48,91.26,12.89,33.72,73.51,22.55,47.46,85.69,19.36,49.84,89.61,17.52,35.47,85.59,19.05,70.0,82.34,21.45,51.99,100.0,65.32,Medium,Yes,54.7
STU-0464,CSE,70.94,5.57,-15.07,-10.79,15.94,65.09,69.46,30.0,50.44,58.65,19.01,65.04,71.75,19.7,55.78,67.49,18.95,30.83,88.22,13.89,47.54,75.73,19.93,26.19,60.95,22.61,33.3,50.22,21.93,31.91,77.25,18.99,41.25,71.46,62.65,Medium,No,72.9
STU-0465,CSE,61.07,9.18,3.15,20.27,14.31,32.62,58.47,14.28,55.71,57.99,12.75,36.61,62.08,17.77,51.0,66.81,30.0,62.26,44.7,18.2,41.0,66.82,15.33,37.03,48.62,16.99,36.53,57.94,14.07,59.73,65.79,12.76,45.39,45.41,68.33,Medium,No,31.7
STU-0466,CSE,61.98,7.09,-10.87,21.67,26.71,69.21,61.42,15.74,35.04,57.44,19.47,65.56,71.53,24.86,47.56,50.44,16.15,45.91,49.97,21.52,57.08,67.43,22.53,17.01,75.31,12.16,42.71,68.16,21.79,25.83,50.99,21.44,52.66,50.91,66.32,Medium,Yes,70.0
STU-0467,CSE,50.47,7.63,10.19,11.29,21.96,22.27,56.71,15.58,46.21,49.59,25.8,48.63,44.48,21.8,70.0,57.87,19.7,32.5,44.3,23.4,31.71,50.49,27.19,47.26,39.68,30.0,70.0,55.48,26.38,41.0,57.71,17.88,24.67,76.39,68.67,Medium,Yes,31.3
STU-0468,CSE,78.55,5.96,-9.39,-14.71,12.97,49.46,81.41,22.58,43.65,77.76,20.69,52.2,78.54,19.66,25.18,98.69,22.68,48.13,72.31,14.98,57.9,76.96,23.11,24.72,94.02,24.51,43.78,83.23,23.71,24.95,95.33,22.42,34.44,67.59,61.08,Medium,No,70.6
STU-0469,CSE,73.75,8.13,-6.75,-32.79,24.94,48.17,78.57,20.13,29.96,78.83,19.01,44.67,97.52,24.35,58.9,100.0,21.92,46.8,66.96,17.74,14.29,81.65,13.67,58.54,73.32,20.64,44.36,87.61,26.05,44.57,64.76,24.62,30.38,58.2,66.7,Medium,Yes,100.0
STU-0470,CSE,68.4,6.72,-5.89,16.18,22.49,63.28,64.35,22.02,38.76,75.62,25.48,41.06,58.12,12.71,58.89,57.03,21.86,56.66,63.39,19.17,59.99,60.32,15.45,41.48,81.18,28.05,43.52,61.28,25.32,19.96,70.88,19.78,64.41,82.35,70.15,Medium,No,38.7
STU-0471,CSE,30.67,7.62,-0.76,1.67,15.29,47.52,24.96,18.53,54.26,27.32,20.97,59.36,45.82,21.44,46.77,19.59,27.93,52.44,32.03,20.43,50.41,38.38,24.48,69.16,33.09,28.77,60.87,30.06,11.66,46.28,46.25,16.12,46.24,32.32,74.31,Medium,Yes,26.8
STU-0472,CSE,56.29,7.16,3.23,-11.18,24.71,39.18,47.6,22.85,33.85,37.94,29.2,58.91,75.12,24.37,55.21,59.99,19.07,52.68,50.76,14.65,40.02,69.21,13.84,26.75,62.2,17.92,52.28,66.19,22.31,35.52,69.12,23.71,45.4,56.07,66.58,Medium,Yes,46.8
STU-0473,CSE,91.81,9.81,4.84,17.6,21.87,40.32,75.5,23.75,55.36,68.8,22.55,70.0,80.54,19.63,42.27,100.0,25.6,31.82,95.23,30.0,35.63,91.7,22.57,35.85,100.0,17.64,24.16,86.56,23.27,33.03,94.83,22.81,26.87,86.18,68.84,Medium,No,31.2
STU-0474,CSE,65.03,9.88,-0.06,-12.92,21.74,55.54,59.64,20.76,40.74,72.31,22.6,39.4,69.82,17.94,51.86,69.74,30.0,39.96,63.62,16.76,29.51,60.47,23.33,56.06,67.99,18.52,37.6,55.86,17.22,25.57,78.61,29.19,15.96,67.92,68.19,Medium,No,47.4
